"","Age","SES1","SES2","threshold","minincome","maxincome","adj_inc","INR"
"1",57,2,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"2",73,2,"$60,000 - $69,999",29854,60000,70000,65000,2.17726267836806
"3",67,2,"$110,000-$119,999",16072,110000,120000,115000,7.15530114484818
"4",29,3,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"5",66,1,"$10,000 - $19,999",12486,10000,20000,5000,0.400448502322601
"6",38,3,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"7",62,5,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"8",40,3,"$80,000 - $89,999",24755,80000,90000,85000,3.43364976772369
"9",51,1,"$10,000 - $19,999",12486,10000,20000,5000,0.400448502322601
"10",47,2,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"11",54,2,"$130,000-$139,999",18774,130000,140000,135000,7.19079578139981
"12",36,3,"$30,000 - $39,999",16072,30000,40000,35000,2.17770034843206
"13",80,2,"$70,000 - $79,999",18774,70000,80000,75000,3.99488654522212
"14",25,2,"$30,000 - $39,999",24755,30000,40000,35000,1.41385578670976
"15",71,2,"$90,000 - $99,999",12486,90000,1e+05,95000,7.60852154412942
"16",30,3,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"17",56,1,"$40,000 - $49,999",29854,40000,50000,45000,1.50733570040866
"18",46,4,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"19",44,3,"$20,000 - $29,999",16072,20000,30000,25000,1.55550024888004
"20",77,1,"$60,000 - $69,999",18774,60000,70000,65000,3.46223500585917
"21",54,2,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"22",30,4,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"23",51,4,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"24",58,2,"$70,000 - $79,999",18774,70000,80000,75000,3.99488654522212
"26",78,2,"$50,000 - $59,999",29854,50000,60000,55000,1.84229918938836
"27",43,6,"$180,000-$189,999",24755,180000,190000,185000,7.47323772975157
"28",58,3,"$30,000 - $39,999",18774,30000,40000,35000,1.86428038777032
"29",47,2,"$60,000 - $69,999",24755,60000,70000,65000,2.62573217531812
"31",71,1,"$20,000 - $29,999",24755,20000,30000,25000,1.00989699050697
"32",35,5,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"33",72,1,"$10,000 - $19,999",18774,10000,20000,5000,0.266325769681474
"34",70,3,"$20,000 - $29,999",16072,20000,30000,25000,1.55550024888004
"35",63,3,"$20,000 - $29,999",16072,20000,30000,25000,1.55550024888004
"36",29,2,"$60,000 - $69,999",16072,60000,70000,65000,4.0443006470881
"38",66,1,"$10,000 - $19,999",16072,10000,20000,5000,0.311100049776008
"39",69,1,"$10,000 - $19,999",18774,10000,20000,5000,0.266325769681474
"40",70,2,"$50,000 - $59,999",12486,50000,60000,55000,4.40493352554861
"41",50,2,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"42",21,3,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"43",70,1,"$40,000 - $49,999",18774,40000,50000,45000,2.39693192713327
"45",68,5,"$30,000 - $39,999",18774,30000,40000,35000,1.86428038777032
"46",34,4,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"47",70,2,"$30,000 - $39,999",16072,30000,40000,35000,2.17770034843206
"48",35,3,"$10,000 - $19,999",14507,10000,20000,5000,0.344661198042324
"49",27,3,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"50",40,4,"$50,000 - $59,999",24755,50000,60000,55000,2.22177337911533
"51",74,2,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"52",43,4,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"53",66,2,"$10,000 - $19,999",12486,10000,20000,5000,0.400448502322601
"54",52,4,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"55",48,2,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"56",30,3,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"57",36,2,"$30,000 - $39,999",12486,30000,40000,35000,2.80313951625821
"58",44,3,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"59",33,3,"$20,000 - $29,999",12486,20000,30000,25000,2.00224251161301
"60",25,5,"$20,000 - $29,999",12486,20000,30000,25000,2.00224251161301
"61",27,3,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"62",30,3,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"63",26,3,"$50,000 - $59,999",16072,50000,60000,55000,3.42210054753609
"64",41,5,"$90,000 - $99,999",12486,90000,1e+05,95000,7.60852154412942
"65",46,3,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"66",22,4,"$90,000 - $99,999",24755,90000,1e+05,95000,3.83760856392648
"68",33,6,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"69",22,3,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053019382
"70",33,3,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"71",39,2,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"72",73,2,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"74",73,2,"$20,000 - $29,999",16072,20000,30000,25000,1.55550024888004
"76",34,2,"$150,000-$159,999",29854,150000,160000,155000,5.19193407918537
"77",57,3,"$170,000-$179,999",16072,170000,180000,175000,10.8885017421603
"78",33,3,"$90,000 - $99,999",24755,90000,1e+05,95000,3.83760856392648
"79",57,2,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"80",28,4,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"81",27,1,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"82",20,3,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"84",69,2,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"85",46,3,"$60,000 - $69,999",16072,60000,70000,65000,4.0443006470881
"86",36,7,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"87",58,3,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053019382
"88",36,5,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"90",37,2,"$30,000 - $39,999",16072,30000,40000,35000,2.17770034843206
"91",22,2,"$50,000 - $59,999",16072,50000,60000,55000,3.42210054753609
"92",30,2,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053019382
"93",39,1,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"94",25,1,"$400,000-$449,999",24755,4e+05,450000,425000,17.1682488386185
"95",29,3,"$60,000 - $69,999",16072,60000,70000,65000,4.0443006470881
"96",44,4,"$10,000 - $19,999",44188,10000,20000,5000,0.113152892187924
"97",37,3,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"98",21,3,"$50,000 - $59,999",12486,50000,60000,55000,4.40493352554861
"100",47,2,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053019382
"101",35,3,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"102",18,5,"$20,000 - $29,999",24755,20000,30000,25000,1.00989699050697
"103",48,2,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"104",38,2,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"105",60,1,"$60,000 - $69,999",18774,60000,70000,65000,3.46223500585917
"106",64,2,"$140,000-$149,999",24755,140000,150000,145000,5.85740254494042
"107",48,3,"$50,000 - $59,999",18774,50000,60000,55000,2.92958346649622
"108",32,3,"$20,000 - $29,999",16072,20000,30000,25000,1.55550024888004
"109",68,3,"$160,000-$169,999",18774,160000,170000,165000,8.78875039948865
"110",31,5,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"111",69,1,"$60,000 - $69,999",16072,60000,70000,65000,4.0443006470881
"112",20,3,"$20,000 - $29,999",12486,20000,30000,25000,2.00224251161301
"113",41,5,"$60,000 - $69,999",16072,60000,70000,65000,4.0443006470881
"114",37,4,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722449253
"115",28,2,"$50,000 - $59,999",16072,50000,60000,55000,3.42210054753609
"116",31,2,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722449253
"117",39,2,"$10,000 - $19,999",16072,10000,20000,5000,0.311100049776008
"118",79,4,"$40,000 - $49,999",12486,40000,50000,45000,3.60403652090341
"119",54,3,"$50,000 - $59,999",18774,50000,60000,55000,2.92958346649622
"120",58,2,"$350,000-$399,999",18774,350000,4e+05,375000,19.9744327261106
"121",21,4,"$50,000 - $59,999",18774,50000,60000,55000,2.92958346649622
"122",32,4,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"123",28,3,"$140,000-$149,999",12486,140000,150000,145000,11.6130065673554
"124",66,1,"$100,000 - $109,999",24755,1e+05,110000,105000,4.24156736012927
"125",22,3,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"126",58,3,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"127",35,5,"$30,000 - $39,999",16072,30000,40000,35000,2.17770034843206
"128",39,4,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"129",34,5,"$90,000 - $99,999",29854,90000,1e+05,95000,3.18215314530716
"130",50,1,"$40,000 - $49,999",18774,40000,50000,45000,2.39693192713327
"131",48,4,"$20,000 - $29,999",12486,20000,30000,25000,2.00224251161301
"132",43,1,"$50,000 - $59,999",18774,50000,60000,55000,2.92958346649622
"133",29,4,"$50,000 - $59,999",18774,50000,60000,55000,2.92958346649622
"134",56,1,"$40,000 - $49,999",18774,40000,50000,45000,2.39693192713327
"135",65,3,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"136",45,3,"$30,000 - $39,999",24755,30000,40000,35000,1.41385578670976
"138",59,4,"$50,000 - $59,999",24755,50000,60000,55000,2.22177337911533
"140",43,4,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"141",51,3,"$20,000 - $29,999",18774,20000,30000,25000,1.33162884840737
"142",61,2,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053019382
"143",29,3,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"144",63,2,"$30,000 - $39,999",34337,30000,40000,35000,1.01930861752628
"147",22,6,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"148",35,4,"$70,000 - $79,999",24755,70000,80000,75000,3.02969097152091
"149",60,2,"$30,000 - $39,999",29854,30000,40000,35000,1.17237221142895
"150",48,2,"$30,000 - $39,999",16072,30000,40000,35000,2.17770034843206
"151",69,1,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"152",55,2,"$500,000-$999,999",18774,5e+05,1e+06,750000,39.9488654522212
"153",50,1,"$50,000 - $59,999",12486,50000,60000,55000,4.40493352554861
"154",26,5,"$30,000 - $39,999",29854,30000,40000,35000,1.17237221142895
"155",52,4,"$10,000 - $19,999",18774,10000,20000,5000,0.266325769681474
"156",62,2,"$40,000 - $49,999",16072,40000,50000,45000,2.79990044798407
"157",67,3,"$50,000 - $59,999",18774,50000,60000,55000,2.92958346649622
"158",39,1,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722449253
"159",60,2,"$50,000 - $59,999",12486,50000,60000,55000,4.40493352554861
"160",24,5,"$20,000 - $29,999",16072,20000,30000,25000,1.55550024888004
"162",65,1,"$10,000 - $19,999",16072,10000,20000,5000,0.311100049776008
"163",39,5,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"164",70,3,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"165",32,5,"$350,000-$399,999",12486,350000,4e+05,375000,30.0336376741951
"166",35,2,"$110,000-$119,999",29854,110000,120000,115000,3.85208012326656
"167",35,4,"$50,000 - $59,999",12486,50000,60000,55000,4.40493352554861
"168",41,2,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"169",47,3,"$30,000 - $39,999",12486,30000,40000,35000,2.80313951625821
"170",33,5,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"171",65,2,"$50,000 - $59,999",24755,50000,60000,55000,2.22177337911533
"172",65,2,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"173",27,1,"$40,000 - $49,999",18774,40000,50000,45000,2.39693192713327
"174",48,2,"$100,000 - $109,999",29854,1e+05,110000,105000,3.51711663428686
"175",60,4,"$40,000 - $49,999",18774,40000,50000,45000,2.39693192713327
