subID,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,Age,BIS1,BIS2,BIS3,BIS4,BIS5,BIS6,BIS7,BIS8,BIS9,BIS10,BIS11,BIS12,BIS13,BIS14,BIS15,BIS16,BIS17,BIS18,BIS19,BIS20,BIS21,BIS22,BIS23,BIS24,BIS25,BIS26,BIS27,BIS28,BIS29,BIS30,BIS_score,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,BFI_C_score,P_Q1TP,P_Q2RCS,P_Q3RTP,P_Q4RCS,P_Q5CS,P_Q6RMF,P_Q7TP,P_Q8CS,P_Q9MF,P_Q10RMF,P_Q11RTP,P_Q12RCS,P_Q13RMF,P_Q14TP,P_Q15CS,P_Q16MF,P_Q17CS,P_Q18RCS,P_Q19MF,P_Q20RTP,P_Q21RCS,P_Q22RMF,P_Q23TP,P_Q24MF,P_QR25TP,P_Q26CS,P_Q27MF,P_Q28TP,P_Q29RMF,P_Q30RTP,Planfulness_score,Age,SES1,SES2,threshold,minincome,maxincome,adj_inc,INR
1,1,2,1,1,1,4,4,4,57,2,2,3,3,2,2,2,2,3,1,2,3,1,2,3,1,2,2,2,2,1,2,2,1,1,2,1,2,3,2,1.966666667,2,1,4,1,3,4,4,4,3,4,4,1,5,3,3,3,4,4,3,4,4,5,4,4,3,3,2,4,2,3,3,4,4,3,4,3,2,4,3,4,2,4,3,3,3.272727273,4,3,2,4,4,4,4,4,3,3,4,5,4,4,4,3,4,4,3,4,3,3,4,3,3,5,4,2,4,4,3.633333333,57,2,"$40,000 - $49,999",16072,40000,50000,45000,2.799900448
2,4,1,2,1,1,5,5,5,73,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,3,1,1,3,1.533333333,2,4,5,2,4,4,5,5,3,5,3,3,5,4,3,4,5,5,4,4,1,5,5,4,4,5,4,5,3,5,1,4,5,4,5,4,4,5,4,4,2,4,5,3,3.954545455,5,5,3,3,4,5,4,4,4,4,4,5,4,4,5,5,4,4,5,4,5,4,5,4,3,4,4,4,4,3,4.166666667,73,2,"$60,000 - $69,999",14507,60000,70000,65000,4.480595575
3,1,1,1,1,1,2,4,4,67,2,1,3,2,1,2,1,1,2,2,1,2,2,1,3,1,1,2,2,2,1,2,1,1,1,3,3,1,1,2,1.666666667,1,1,5,1,2,5,3,4,5,5,3,1,5,1,3,1,5,5,1,3,5,5,4,5,1,1,1,5,1,5,5,5,5,5,3,2,2,1,1,2,1,5,5,5,3.181818182,4,5,3,2,2,4,5,3,3,3,4,4,3,4,3,4,3,4,4,3,3,4,4,3,3,4,4,3,5,2,3.5,67,2,"$110,000-$119,999",14507,110000,120000,115000,7.927207555
4,3,5,1,5,1,5,1,3,29,2,2,2,3,3,4,2,1,2,1,4,1,1,3,1,2,3,4,3,1,1,3,2,2,2,3,3,4,3,1,2.3,5,5,5,5,5,5,5,1,1,5,3,3,5,5,5,5,5,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,1,5,1,5,4.136363636,5,3,1,3,5,1,5,5,5,5,5,1,1,5,5,1,5,3,5,1,1,1,5,5,1,5,5,5,1,5,3.466666667,29,3,"$70,000 - $79,999",18774,70000,80000,75000,3.994886545
5,3,2,1,2,2,4,2,4,66,2,2,2,1,2,1,3,2,2,3,1,2,3,2,2,1,2,3,2,2,2,2,1,2,2,2,2,1,3,3,2,4,4,5,4,4,2,4,4,4,4,2,3,4,2,4,3,2,4,2,4,2,4,4,4,4,4,4,5,4,4,2,4,4,4,2,4,2,4,2,4,2,2,4,4,3.454545455,4,4,4,4,4,2,4,4,4,4,4,2,4,2,3,4,4,4,4,4,4,4,4,2,4,4,2,4,4,3,3.6,66,1,"$10,000 - $19,999",11511,10000,20000,5000,0.434367127
6,2,2,1,2,1,5,5,5,38,2,2,2,3,2,3,3,3,2,3,1,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,3,1,1,2,2.133333333,5,2,5,4,3,2,5,2,2,5,4,1,5,4,4,5,5,4,5,5,1,5,5,3,3,4,1,4,4,4,2,5,5,4,5,5,1,4,4,4,4,4,3,3,3.727272727,5,4,3,5,5,4,5,4,4,4,4,5,5,4,4,5,4,5,3,3,4,4,4,4,5,5,5,5,4,4,4.3,38,3,"$40,000 - $49,999",18774,40000,50000,45000,2.396931927
7,2,4,1,1,1,5,4,4,62,3,2,3,3,2,2,4,3,2,4,1,2,4,1,2,2,2,1,2,2,3,2,3,1,1,2,3,1,4,4,2.366666667,1,2,5,4,5,5,5,2,5,5,2,1,2,4,5,4,4,1,4,5,5,5,1,5,5,4,4,5,4,5,1,5,2,5,1,4,1,1,1,5,5,5,2,5,3.568181818,5,1,1,2,4,4,2,4,2,2,3,2,2,4,2,4,4,2,4,2,4,2,2,4,2,2,4,4,4,2,2.866666667,62,5,"$40,000 - $49,999",29854,40000,50000,45000,1.5073357
8,2,3,3,3,3,4,3,4,40,4,2,1,1,2,3,4,3,4,3,3,4,3,3,4,1,2,3,2,4,1,2,3,1,1,3,3,3,4,4,2.7,1,4,3,4,3,5,3,4,2,3,2,3,4,4,4,2,2,3,5,3,5,2,4,2,3,2,3,3,4,3,5,3,2,2,3,1,3,3,4,2,3,3,2,3,3.045454545,3,3,3,2,2,2,3,3,3,2,4,2,3,2,2,2,2,3,2,3,2,2,3,3,4,3,3,3,3,2,2.633333333,40,3,"$80,000 - $89,999",18774,80000,90000,85000,4.527538085
9,1,3,1,1,1,5,3,4,51,3,3,3,1,1,4,3,3,3,4,3,3,4,2,3,1,3,1,2,2,1,3,2,1,3,3,2,3,3,3,2.533333333,4,3,5,5,4,3,4,3,2,2,1,1,5,4,5,2,4,3,5,4,3,4,3,1,4,3,2,5,4,4,5,4,4,3,4,4,3,1,4,3,1,3,3,2,3.318181818,4,4,3,4,4,3,2,4,3,3,4,5,2,1,4,5,3,2,4,3,3,3,4,3,3,4,3,3,4,3,3.333333333,51,1,"$10,000 - $19,999",12486,10000,20000,5000,0.400448502
10,2,2,2,2,2,4,4,4,47,3,2,1,2,1,1,3,3,3,3,1,3,3,1,3,2,2,1,1,3,2,2,1,2,1,1,2,1,2,3,1.966666667,2,2,4,2,4,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,4,2,2,2,2,4,4,4,2,4,2,2,3.090909091,4,4,2,2,4,3,3,4,4,2,4,4,4,3,4,2,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3.5,47,2,"$40,000 - $49,999",16072,40000,50000,45000,2.799900448
11,4,1,1,1,1,5,5,4,54,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,3,1,1.6,4,2,5,3,3,4,5,5,4,5,4,1,5,4,4,4,4,5,4,3,4,5,4,4,4,4,1,5,4,5,4,5,5,4,1,4,2,5,1,4,1,4,5,4,3.795454545,5,5,5,5,4,4,5,5,5,4,5,2,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.666666667,54,2,"$130,000-$139,999",16072,130000,140000,135000,8.399701344
12,1,1,4,2,2,4,5,5,36,2,2,2,1,3,3,3,3,4,4,2,3,4,1,4,1,1,2,1,4,1,2,3,1,2,3,2,2,4,3,2.433333333,1,4,4,5,2,5,2,2,1,4,1,1,4,5,2,1,4,4,5,4,5,4,2,1,2,1,5,2,5,4,5,4,2,1,5,1,2,2,5,2,4,3,2,1,2.977272727,4,4,4,5,3,2,2,3,3,2,4,4,2,2,2,2,4,5,4,3,2,2,3,4,4,3,4,4,4,5,3.3,36,3,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
13,4,1,1,1,1,5,5,5,80,2,1,3,2,2,2,2,2,2,1,2,2,3,2,4,1,2,2,2,2,1,1,2,1,1,1,2,3,4,2,1.966666667,4,1,5,4,4,5,4,3,4,5,1,1,5,5,4,4,5,2,4,5,4,5,2,2,2,4,2,5,5,4,4,5,4,4,5,4,1,5,4,4,5,5,2,1,3.704545455,5,2,2,2,4,4,4,4,5,2,4,4,4,4,4,4,4,1,4,4,3,4,4,4,2,3,4,4,4,4,3.566666667,80,2,"$70,000 - $79,999",14507,70000,80000,75000,5.169917971
14,2,1,2,3,3,4,5,5,25,3,2,3,4,1,3,2,4,3,3,3,3,4,2,4,2,2,2,2,2,1,2,1,1,2,2,3,2,3,3,2.466666667,5,2,4,2,4,1,4,3,2,4,4,1,4,4,3,4,4,2,5,5,2,4,2,4,4,1,2,3,4,5,2,4,4,3,3,5,2,4,3,4,1,4,2,4,3.25,4,2,2,4,2,2,3,3,2,2,4,2,2,3,3,2,3,4,3,2,2,4,4,2,4,4,2,4,4,4,2.933333333,25,2,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
15,1,1,1,1,1,5,5,5,71,2,1,2,4,1,1,2,1,2,1,1,1,1,1,4,1,2,1,2,1,1,2,2,1,1,1,4,1,1,3,1.633333333,1,1,5,1,3,4,5,5,5,2,4,1,5,1,3,3,5,5,2,3,5,5,5,5,2,1,1,5,1,4,4,5,5,4,3,5,1,5,2,2,3,5,4,1,3.340909091,5,5,2,3,4,4,5,3,3,5,2,4,5,2,4,4,3,4,5,4,5,5,4,3,2,3,4,3,5,1,3.7,71,2,"$90,000 - $99,999",14507,90000,1.00E+05,95000,6.548562763
16,1,1,1,1,1,5,5,5,30,1,2,3,2,1,2,2,2,2,4,2,2,3,2,4,1,1,2,1,3,2,1,3,2,1,3,3,2,4,3,2.2,3,2,3,2,4,5,5,4,4,4,2,1,5,4,1,2,5,4,4,4,4,5,2,3,2,2,2,4,4,4,4,5,4,4,4,3,1,4,3,2,1,4,4,3,3.318181818,5,5,3,4,3,4,4,4,4,4,4,5,2,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,5,4,3.9,30,3,"$70,000 - $79,999",18774,70000,80000,75000,3.994886545
17,2,2,2,1,1,4,4,5,56,1,1,3,2,1,2,1,1,1,4,3,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,4,3,4,4,1.9,2,1,5,1,2,5,4,5,3,4,2,1,5,4,3,2,4,5,2,1,5,5,4,4,2,2,4,5,4,1,5,4,5,4,5,2,2,5,2,1,4,4,4,2,3.318181818,4,5,3,4,4,3,3,3,3,3,2,4,4,1,3,3,3,4,4,4,4,3,3,3,2,3,3,3,3,3,3.233333333,56,1,"$40,000 - $49,999",12486,40000,50000,45000,3.604036521
18,1,1,1,1,1,5,5,4,46,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1.433333333,2,2,4,3,3,4,4,4,3,3,2,2,5,3,3,3,3,5,4,3,4,5,4,3,2,1,2,4,2,3,4,4,5,4,5,3,1,4,4,3,2,5,4,1,3.272727273,4,3,2,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,3,4,3,4,3,4,3,4,4,3.6,46,4,"$70,000 - $79,999",24755,70000,80000,75000,3.029690972
19,3,4,1,3,4,4,2,4,44,3,2,2,2,2,3,4,2,2,4,3,3,4,1,3,1,2,2,3,4,2,3,1,3,3,3,4,3,2,4,2.666666667,5,2,5,5,4,2,5,2,3,5,1,1,3,4,5,3,5,3,4,5,2,4,1,2,4,2,2,2,4,4,2,5,2,4,3,4,3,2,4,4,4,4,2,1,3.25,4,3,2,3,4,4,3,4,4,2,2,2,2,3,4,2,4,2,4,3,3,3,3,4,4,4,3,4,4,4,3.233333333,44,3,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
20,2,1,1,1,1,5,4,4,77,1,1,3,2,1,2,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,2,1,1,1,3,1,1,3,1.466666667,2,4,5,2,4,4,4,5,3,4,2,1,5,4,4,3,3,5,2,2,4,4,5,4,4,4,2,5,2,2,4,4,5,3,2,2,2,5,2,3,4,4,4,1,3.386363636,5,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,2,3.633333333,77,1,"$60,000 - $69,999",11511,60000,70000,65000,5.646772652
